color,director_name,duration,gross,genres,movie_title,title_year,language,country,budget,imdb_score,actors,movie_facebook_likes
color,james mangold,138.0,132550960.0,action|adventure|sci-fi|thriller,the wolverine,2013,english,usa,120000000.0,6.7,"hugh jackman,tao okamoto,rila fukushima",68000
color,daniel espinosa,137.0,1206135.0,crime|drama|thriller,child 44,205,english,czech republic,50000000.0,6.4,"tom hardy,fares fares,michael nardone",18000
color,ridley scott,137.0,37304950.0,biography|crime|drama,j. edgar,2011,english,usa,35000000.0,6.6,"leonardo dicaprio,naomi watts,kaitlyn dever",16000
color,walter salles,137.0,717753.0,adventure|drama,on the road,2012,english,france,25000000.0,6.1,"kristen stewart,viggo mortensen,kirsten dunst",27000
color,ridley scott,137.0,281666058.0,adventure|sci-fi,the hunger games: mockingjay - part 2,2015,english,usa,160000000.0,6.6,"jennifer lawrence,philip seymour hoffman,josh hutcherson",38000
color,angelina jolie pitt,137.0,115603980.0,biography|drama|sport|war,unbroken,2014,english,usa,65000000.0,6.7,"finn wittrock,jack o'connell,alex russell",35000
color,angelina jolie pitt,137.0,115603980.0,biography|drama|sport|war,unbroken,2014,english,usa,65000000.0,7.2,"finn wittrock,jack o'connell,alex russell",35000
color,seth macfarlane,136.0,42615685.0,comedy|western,a million ways to die in the west,2014,english,usa,40000000.0,6.1,"liam neeson,charlize theron,seth macfarlane",24000
color,anthony russo,136.0,259746958.0,action|adventure|sci-fi,captain america: the winter soldier,2014,english,usa,170000000.0,7.8,"scarlett johansson,chris evans,hayley atwell",55000
color,rob marshall,136.0,241063875.0,action|adventure|fantasy,pirates of the caribbean: on stranger tides,2011,english,usa,250000000.0,6.7,"johnny depp,sam claflin,stephen graham",58000
color,adam shankman,136.0,38509342.0,comedy|drama|musical|romance,rock of ages,2012,english,usa,75000000.0,5.9,"james martin kelly,shane hartline,celina beach",33000
color,ridley scott,136.0,52474616.0,drama,wall street: money never sleeps,2010,english,usa,70000000.0,6.3,"frank langella,austin pendleton,john buffalo mailer",13000
color,tony gilroy,135.0,113165635.0,action|adventure|thriller,the bourne legacy,2012,english,usa,125000000.0,6.7,"jeremy renner,scott glenn,stacy keach",31000
color,steve mcqueen,134.0,56667870.0,biography|drama|history,12 years a slave,2013,english,usa,20000000.0,8.1,"quvenzhané wallis,scoot mcnairy,taran killam",83000
color,paul greengrass,134.0,107100855.0,biography|drama|thriller,captain phillips,2013,english,usa,55000000.0,7.9,"tom hanks,chris mulkey,michael chernus",65000
color,david ayer,134.0,85707116.0,action|drama|war,fury,2014,english,usa,68000000.0,7.6,"brad pitt,logan lerman,jim parrack",82000
color,clint eastwood,5.0,47034272.0,biography|drama|music|musical,jersey boys,2014,english,usa,40000000.0,6.9,"johnny cannizzaro,steve schirripa,scott vance",16000
